,Unnamed: 0,CMPLNT_NUM,CMPLNT_FR_DT,OFNS_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,STATION_NAME
782405,4296084,402929506,01/07/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,FELONY,MANHATTAN,991725.0,217725.0,40.76428632600005,-73.97301719399997,"(40.76428632600005, -73.97301719399997)",5 AVENUE
782427,4296108,973479365,01/02/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,984016.0,162469.0,40.612624466000064,-74.00084424499995,"(40.61262446600006, -74.00084424499995)",79 STREET
782441,4296122,325162695,01/08/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,989387.0,190637.0,40.68993802200004,-73.98147789399997,"(40.68993802200004, -73.98147789399997)",DEKALB AVENUE
782464,4296149,645915222,01/02/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,994019.0,188128.0,40.683047491000025,-73.96477896299997,"(40.683047491000025, -73.96477896299997)",CLINTON-WASHINGTON AVENUES
782486,4296176,496259898,01/11/2019,OFFENSES AGAINST THE PERSON,COMPLETED,MISDEMEANOR,BROOKLYN,994216.0,174053.0,40.64441451000005,-73.96408947599997,"(40.64441451000005, -73.96408947599997)",BEVERLY ROAD
782488,4296178,562998674,01/04/2019,FORGERY,COMPLETED,FELONY,MANHATTAN,987078.0,215157.0,40.757240531000036,-73.98979363699993,"(40.757240531000036, -73.98979363699993)",42 ST.-PORT AUTHORITY BUS TERM
782532,4296225,179241828,01/11/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,1006025.0,218687.0,40.76690311300007,-73.92139204399997,"(40.76690311300007, -73.92139204399997)",30 AVENUE
782558,4296254,911176623,01/08/2019,DANGEROUS WEAPONS,COMPLETED,FELONY,MANHATTAN,986848.0,212883.0,40.75099904800004,-73.99062471199994,"(40.75099904800004, -73.99062471199994)",34 ST.-PENN STATION
782580,4296281,717866423,01/14/2019,ROBBERY,ATTEMPTED,FELONY,BRONX,1012978.0,236701.0,40.81632680300004,-73.89621415799998,"(40.81632680300004, -73.89621415799998)",LONGWOOD AVENUE
782583,4296284,256108719,01/08/2019,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,987636.0,212439.0,40.74978011300004,-73.98778087399995,"(40.74978011300004, -73.98778087399995)",34 ST.-HERALD SQ.
782649,4296359,646594733,01/11/2019,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,985733.0,203753.0,40.725939713000045,-73.99465099599996,"(40.72593971300005, -73.99465099599996)",BLEECKER STREET
782655,4296365,305347840,01/08/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,1017225.0,209572.0,40.74185009100006,-73.881003933,"(40.74185009100006, -73.881003933)",ELMHURST AVE.
782763,4296503,302568676,01/09/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,986351.0,192220.0,40.69428423400007,-73.99242493799993,"(40.69428423400007, -73.99242493799993)",COURT STREET
782776,4296517,255782461,01/13/2019,ROBBERY,ATTEMPTED,FELONY,BROOKLYN,1012957.0,184994.0,40.67440421700008,-73.89651071499998,"(40.67440421700008, -73.89651071499998)",LIBERTY AVENUE
782780,4296523,175181225,01/08/2019,SEX CRIMES,COMPLETED,MISDEMEANOR,MANHATTAN,984946.0,200203.0,40.716195914000025,-73.99749074599998,"(40.716195914000025, -73.99749074599998)",BROOKLYN BRIDGE-CITY HALL
782789,4296536,322491650,01/11/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,989916.0,180044.0,40.66086229600006,-73.97957927099996,"(40.66086229600006, -73.97957927099996)",15 ST.-PROSPECT PARK
782872,4296636,980533594,01/13/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,1022285.0,212504.0,40.74987737400005,-73.86272726099996,"(40.74987737400005, -73.86272726099996)",103 ST.-CORONA PLAZA
782884,4296649,997068036,01/10/2019,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,981604.0,198068.0,40.71033547800005,-74.00954559999997,"(40.71033547800005, -74.00954559999997)",FULTON STREET
782901,4296669,306286429,01/10/2019,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,981604.0,198068.0,40.71033547800005,-74.00954559999997,"(40.71033547800005, -74.00954559999997)",FULTON STREET
782912,4296680,148468717,01/02/2019,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,980295.0,195926.0,40.70445570500005,-74.01426591999996,"(40.70445570500005, -74.01426591999996)",BOWLING GREEN
782922,4296692,428335287,01/11/2019,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,986754.0,191591.0,40.692557669000045,-73.99097189599996,"(40.692557669000045, -73.99097189599996)",BOROUGH HALL
782963,4296741,567299391,01/08/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,988886.0,207857.0,40.737203099000055,-73.98327259799999,"(40.737203099000055, -73.98327259799999)",14 ST.-UNION SQUARE
782969,4296748,204871900,01/04/2019,GRAND LARCENY,COMPLETED,FELONY,QUEENS,1003180.0,210587.0,40.74467722700007,-73.93168550999997,"(40.74467722700007, -73.93168550999997)",33 STREET
782970,4296749,283412305,01/04/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,1052559.0,159711.0,40.604791059000036,-73.75399925399995,"(40.604791059000036, -73.75399925399995)",FAR ROCKAWAY-MOTT AVE.
