,Unnamed: 0,CMPLNT_NUM,CMPLNT_FR_DT,OFNS_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,STATION_NAME
1049,3489167,730889540,12/26/2019,FORGERY,COMPLETED,FELONY,BROOKLYN,987772.0,191476.0,40.69224167400005,-73.987300996,"(40.69224167400005, -73.987300996)",JAY STREET-BOROUGH HALL
1136,3489255,606107651,12/29/2019,ROBBERY,COMPLETED,FELONY,BRONX,1020937.0,254605.0,40.86543854800004,-73.86736232099996,"(40.86543854800004, -73.86736232099996)",ALLERTON AVENUE
1158,3489277,522961469,12/27/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,988757.0,216332.0,40.760464910000046,-73.98373241099996,"(40.760464910000046, -73.98373241099996)",49 STREET
1220,3489340,860501657,12/26/2019,FORGERY,COMPLETED,FELONY,BRONX,1011485.0,237929.0,40.819702045000035,-73.90160301699996,"(40.819702045000035, -73.90160301699996)",PROSPECT AVENUE
1277,3489398,249535524,12/26/2019,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,990886.0,213048.0,40.751449824000076,-73.97605054499998,"(40.751449824000076, -73.97605054499998)",42 ST.-GRAND CENTRAL
1374,3489501,152382885,12/23/2019,SEX CRIMES,COMPLETED,MISDEMEANOR,MANHATTAN,999358.0,236472.0,40.81573205300003,-73.94542041099999,"(40.81573205300003, -73.94542041099999)",155 STREET
1386,3489513,799192617,12/22/2019,ROBBERY,COMPLETED,FELONY,QUEENS,1029239.0,201142.0,40.718658885000025,-73.83770522999998,"(40.718658885000025, -73.83770522999998)",75 AVENUE
1407,3489534,464842359,12/30/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,987263.0,209373.0,40.74136484500008,-73.98912845999998,"(40.74136484500008, -73.98912845999998)",23 STREET
1427,3489554,994245523,12/29/2019,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,985764.0,213806.0,40.75353270100004,-73.99453689199999,"(40.75353270100004, -73.99453689199999)",42 ST.-TIMES SQUARE
1482,3489610,157996483,12/06/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,MANHATTAN,987526.0,211899.0,40.74829799100007,-73.98817814399997,"(40.74829799100007, -73.98817814399997)",34 STREET
1552,3489680,795886786,12/30/2019,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,1015183.0,181789.0,40.66559971500004,-73.88850054499993,"(40.66559971500004, -73.88850054499993)",VAN SICLEN AVENUE
1588,3489716,780856489,12/29/2019,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,988451.0,217993.0,40.765024079000064,-73.98483594999993,"(40.76502407900006, -73.98483594999993)",59 ST.-COLUMBUS CIRCLE
1598,3489727,972814340,12/28/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,BRONX,1004749.0,240880.0,40.827819901000055,-73.92593075599996,"(40.827819901000055, -73.92593075599996)",161 ST.-YANKEE STADIUM
1632,3489761,127820546,12/24/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,988089.0,190305.0,40.689027417000034,-73.98615855199995,"(40.689027417000034, -73.98615855199995)",HOYT-SCHERMERHORN
1657,3489786,877644259,12/21/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,986354.0,205451.0,40.730600184000025,-73.99240998699997,"(40.730600184000025, -73.99240998699997)",8 ST.-NYU
1684,3489813,317682251,12/28/2019,ROBBERY,COMPLETED,FELONY,BRONX,1014468.0,238156.0,40.82031539600007,-73.89082460299994,"(40.82031539600007, -73.89082460299994)",HUNTS POINT AVENUE
1694,3489823,323325801,12/26/2019,FORGERY,COMPLETED,FELONY,QUEENS,1022285.0,212504.0,40.74987737400005,-73.86272726099996,"(40.74987737400005, -73.86272726099996)",103 ST.-CORONA PLAZA
1726,3489855,765043224,12/23/2019,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,989284.0,211217.0,40.74642524500007,-73.98183391399994,"(40.74642524500007, -73.98183391399994)",33 STREET
1728,3489857,410539515,12/28/2019,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,992033.0,215119.0,40.75713325800007,-73.97190835199996,"(40.75713325800007, -73.97190835199996)",51 STREET
1732,3489861,812310963,12/22/2019,ROBBERY,COMPLETED,FELONY,BROOKLYN,986754.0,191591.0,40.692557669000045,-73.99097189599996,"(40.692557669000045, -73.99097189599996)",BOROUGH HALL
1733,3489862,905864838,12/27/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,BROOKLYN,1002212.0,193214.0,40.69699455600005,-73.93522525599997,"(40.69699455600005, -73.93522525599997)",MYRTLE AVENUE
1749,3489878,670023881,12/29/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,986354.0,205451.0,40.730600184000025,-73.99240998699997,"(40.730600184000025, -73.99240998699997)",8 ST.-NYU
1767,3489896,178940447,12/24/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,MANHATTAN,984103.0,201020.0,40.71843841000003,-74.00053174199995,"(40.71843841000003, -74.00053174199996)",CANAL STREET
1771,3489900,142314603,07/08/2019,FORGERY,COMPLETED,FELONY,MANHATTAN,986967.0,199425.0,40.71406010100003,-73.99020064699994,"(40.71406010100003, -73.99020064699994)",EAST BROADWAY
1814,3489945,475662477,12/09/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,MANHATTAN,987526.0,211899.0,40.74829799100007,-73.98817814399997,"(40.74829799100007, -73.98817814399997)",34 STREET
1854,3489985,841930939,12/22/2019,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,976380.0,166180.0,40.62280690000005,-74.02835139899997,"(40.62280690000005, -74.02835139899997)",86 STREET
1858,3489989,826908716,12/22/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,QUEENS,1033809.0,198089.0,40.710254725000034,-73.82124163599997,"(40.71025472500003, -73.82124163599997)",VAN WYCK BLVD.-BRIARWOOD
1938,3490069,983050633,12/10/2019,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,1010287.0,186518.0,40.67859550700007,-73.90613035499997,"(40.67859550700007, -73.90613035499997)",BROADWAY-EAST NEW YORK
1984,3490115,499107189,12/20/2019,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,998567.0,172445.0,40.63999493100005,-73.94841428699993,"(40.63999493100005, -73.94841428699993)",NEWKIRK AVENUE
1994,3490125,762476693,12/22/2019,FORGERY,COMPLETED,FELONY,MANHATTAN,1001575.0,232339.0,40.804384046000045,-73.93742166899995,"(40.804384046000045, -73.93742166899995)",125 STREET
2066,3490200,801572683,12/23/2019,ROBBERY,COMPLETED,FELONY,BRONX,1017356.0,245369.0,40.840102648000034,-73.88035475199997,"(40.84010264800003, -73.88035475199997)",EAST TREMONT AVE.-WEST FARMS S
2110,3490244,341178550,12/28/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,983551.0,208788.0,40.739759650000046,-74.00252386299998,"(40.739759650000046, -74.00252386299998)",14 STREET
2176,3490310,418928022,12/23/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,BROOKLYN,1013646.0,181481.0,40.66475956000005,-73.89404214399997,"(40.66475956000005, -73.89404214399997)",PENNSYLVANIA AVENUE
2178,3490312,532831471,12/21/2019,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,983458.0,206549.0,40.733614139000046,-74.0028592,"(40.733614139000046, -74.0028592)",CHRISTOPHER ST.-SHERIDAN SQ.
2267,3490402,680571960,12/23/2019,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,982466.0,197787.0,40.709564416000035,-74.00643628099994,"(40.709564416000035, -74.00643628099994)",FULTON STREET
2352,3490490,620137210,12/24/2019,GRAND LARCENY,COMPLETED,FELONY,QUEENS,1052559.0,159711.0,40.604791059000036,-73.75399925399995,"(40.604791059000036, -73.75399925399995)",FAR ROCKAWAY-MOTT AVE.
2459,3490597,244033936,08/22/2019,ROBBERY,COMPLETED,FELONY,MANHATTAN,993569.0,217891.0,40.76474020200004,-73.96636024699995,"(40.76474020200004, -73.96636024699995)",LEXINGTON AVE.
2488,3490626,499493746,12/21/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,983125.0,199091.0,40.71314369600003,-74.00405950599996,"(40.71314369600003, -74.00405950599996)",CHAMBERS STREET
2515,3490653,247957158,12/24/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,1005435.0,196875.0,40.70703601300004,-73.923590672,"(40.70703601300004, -73.923590672)",JEFFERSON STREET
2524,3490662,663493399,12/30/2019,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,992062.0,228791.0,40.79465928500008,-73.97178778199999,"(40.79465928500008, -73.97178778199999)",96 STREET
2544,3490682,603972118,12/30/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,QUEENS,1031307.0,216054.0,40.759577798000066,-73.83014069999997,"(40.759577798000066, -73.83014069999997)",MAIN ST.-FLUSHING
2565,3490703,941743138,12/22/2019,GRAND LARCENY,COMPLETED,FELONY,QUEENS,1031307.0,216054.0,40.759577798000066,-73.83014069999997,"(40.759577798000066, -73.83014069999997)",MAIN ST.-FLUSHING
2572,3490710,789830011,12/29/2019,FELONY ASSAULT,COMPLETED,FELONY,QUEENS,1024740.0,204188.0,40.72704114300007,-73.85391685499997,"(40.72704114300007, -73.85391685499997)",67 AVENUE
2575,3490713,608769553,12/21/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,997305.0,196750.0,40.70670864700002,-73.95291446499994,"(40.70670864700002, -73.95291446499994)",HEWES STREET
2583,3490721,723874825,12/30/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,QUEENS,1037559.0,194576.0,40.70059059000005,-73.80774319999993,"(40.70059059000005, -73.80774319999993)",SUTPHIN BLVD.-ARCHER AVE.
2635,3490773,826700104,12/25/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,990910.0,222076.0,40.77622934100003,-73.97595497899994,"(40.77622934100003, -73.97595497899994)",72 STREET
2777,3490927,105850327,12/29/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,997374.0,234664.0,40.81077276700007,-73.95259158999993,"(40.81077276700007, -73.95259158999993)",125 STREET
2806,3490956,430608492,12/16/2019,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,MANHATTAN,985457.0,210372.0,40.744107281000026,-73.99564557899998,"(40.744107281000026, -73.99564557899998)",23 STREET
2887,3491038,386939949,12/27/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,1009419.0,235573.0,40.81324161600002,-73.90907618199995,"(40.81324161600002, -73.90907618199996)",JACKSON AVENUE
2913,3491064,929450483,12/24/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,994619.0,183971.0,40.67163678100008,-73.96262203799995,"(40.67163678100008, -73.96262203799995)",EASTERN PKWY-BROOKLYN MUSEUM
2929,3491080,863782450,12/26/2019,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,993063.0,216978.0,40.76223477100008,-73.96818808299997,"(40.762234771000074, -73.96818808299997)",59 STREET
2934,3491085,713513232,12/26/2019,FRAUDS,COMPLETED,MISDEMEANOR,BRONX,1011698.0,251174.0,40.856055051000055,-73.90077925899999,"(40.856055051000055, -73.90077925899999)",182-183 STREETS
2982,3491133,276046354,12/23/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,989387.0,190637.0,40.68993802200004,-73.98147789399997,"(40.68993802200004, -73.98147789399997)",DEKALB AVENUE
3017,3491168,536621589,11/29/2019,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,985961.0,200916.0,40.71815279100008,-73.99382912599998,"(40.71815279100008, -73.99382912599998)",GRAND STREET
3020,3491171,171384024,12/30/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,1014244.0,211379.0,40.746820464000045,-73.89175345599993,"(40.746820464000045, -73.89175345599993)",ROOSEVELT AVE.-JACKSON HEIGHTS
3064,3491216,660302680,08/17/2019,SEX CRIMES,COMPLETED,MISDEMEANOR,MANHATTAN,984946.0,200203.0,40.716195914000025,-73.99749074599998,"(40.716195914000025, -73.99749074599998)",GRAND STREET
3134,3491286,600842613,12/31/2019,ROBBERY,ATTEMPTED,FELONY,BRONX,1010003.0,235726.0,40.81365987500004,-73.90696584299997,"(40.81365987500004, -73.90696584299997)",JACKSON AVENUE
3159,3491311,109241469,12/29/2019,BURGLAR'S TOOLS,COMPLETED,MISDEMEANOR,BROOKLYN,997874.0,180875.0,40.66313454000005,-73.95089428399997,"(40.66313454000005, -73.95089428399997)",PRESIDENT STREET
3251,3491406,232948624,12/23/2019,ROBBERY,COMPLETED,FELONY,BRONX,1004367.0,234794.0,40.81111642600007,-73.92732930899997,"(40.81111642600007, -73.92732930899997)",3 AVENUE-138 STREET
3409,3491570,387256434,12/29/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,989780.0,218177.0,40.765528380000035,-73.98003814399993,"(40.765528380000035, -73.98003814399993)",57 STREET
3415,3491576,967820241,12/21/2019,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,BRONX,1010257.0,248767.0,40.84945291600008,-73.90599768399994,"(40.84945291600008, -73.90599768399994)",TREMONT AVENUE
3441,3491603,418130904,12/29/2019,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,1003927.0,186763.0,40.67928439700007,-73.92905930999996,"(40.67928439700007, -73.92905930999996)",UTICA AVENUE
3541,3491703,352034297,12/21/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,QUEENS,1037559.0,194576.0,40.70059059000005,-73.80774319999993,"(40.70059059000005, -73.80774319999993)",SUTPHIN BLVD.-ARCHER AVE.
3589,3491751,816752208,12/17/2019,OFFENSES AGAINST THE PERSON,COMPLETED,MISDEMEANOR,BROOKLYN,1021568.0,185710.0,40.676337363000066,-73.86546353999995,"(40.676337363000066, -73.86546353999995)",GRANT AVENUE
3742,3491904,139903864,12/18/2019,GRAND LARCENY,COMPLETED,FELONY,BRONX,1004749.0,240880.0,40.827819901000055,-73.92593075599996,"(40.827819901000055, -73.92593075599996)",161 ST.-YANKEE STADIUM
3777,3491939,531338367,12/28/2019,GRAND LARCENY,COMPLETED,FELONY,BRONX,1016145.0,259815.0,40.879757004000055,-73.88466262099996,"(40.879757004000055, -73.88466262099996)",MOSHOLU PKWY.
3873,3492037,143739108,12/31/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,990886.0,213048.0,40.751449824000076,-73.97605054499998,"(40.751449824000076, -73.97605054499998)",42 ST.-GRAND CENTRAL
3900,3492064,906943061,12/28/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,FELONY,BROOKLYN,996696.0,190463.0,40.68945317300006,-73.95512263199998,"(40.68945317300006, -73.95512263199998)",BEDFORD-NOSTRAND AVENUES
3901,3492065,880925572,12/26/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,1005652.0,240532.0,40.82686259900004,-73.92266898399998,"(40.82686259900004, -73.92266898399998)",161 ST.-YANKEE STADIUM
3921,3492085,160998459,12/26/2019,FELONY ASSAULT,COMPLETED,FELONY,QUEENS,1017225.0,209572.0,40.74185009100006,-73.881003933,"(40.74185009100006, -73.881003933)",ELMHURST AVE.
4039,3492205,136020522,12/26/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,MANHATTAN,993569.0,217891.0,40.76474020200004,-73.96636024699995,"(40.76474020200004, -73.96636024699995)",LEXINGTON AVE.
4165,3492338,751214850,12/23/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,1027498.0,202160.0,40.721461728000065,-73.84397926999998,"(40.721461728000065, -73.84397926999998)",71 AVE.-FOREST HILLS
4210,3492384,791354977,12/22/2019,DANGEROUS WEAPONS,COMPLETED,FELONY,BROOKLYN,1010287.0,186518.0,40.67859550700007,-73.90613035499997,"(40.67859550700007, -73.90613035499997)",BROADWAY-EAST NEW YORK
4237,3492411,937152058,12/27/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,990502.0,188496.0,40.68406075000007,-73.97745929199993,"(40.68406075000007, -73.97745929199993)",ATLANTIC AVENUE
4281,3492456,622678213,12/12/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,MANHATTAN,987526.0,211899.0,40.74829799100007,-73.98817814399997,"(40.74829799100007, -73.98817814399997)",34 STREET
4294,3492470,413289287,12/25/2019,FELONY ASSAULT,COMPLETED,FELONY,BRONX,1006032.0,243764.0,40.83573258000007,-73.92128542599994,"(40.83573258000007, -73.92128542599994)",167 STREET
4320,3492496,347912346,12/28/2019,ROBBERY,COMPLETED,FELONY,BRONX,1009494.0,247830.0,40.846883343000044,-73.908759117,"(40.84688334300005, -73.908759117)",174-175 STREETS
4368,3492545,860470546,12/28/2019,FELONY ASSAULT,COMPLETED,FELONY,MANHATTAN,983985.0,205857.0,40.73171480100008,-74.00095761299998,"(40.731714801000074, -74.00095761299998)",W. 4 STREET
4440,3492617,514348785,12/30/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,1004369.0,237509.0,40.818568337000045,-73.92731394599997,"(40.818568337000045, -73.92731394599997)",149 ST.-GRAND CONCOURSE
4478,3492655,912434634,12/11/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,MANHATTAN,987526.0,211899.0,40.74829799100007,-73.98817814399997,"(40.74829799100007, -73.98817814399997)",34 STREET
4684,3492863,161544560,12/28/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,1031029.0,199612.0,40.71445012500004,-73.83125851599993,"(40.71445012500004, -73.83125851599993)",UNION TURNPIKE-KEW GARDENS
4930,3493123,720850823,12/23/2019,ROBBERY,COMPLETED,FELONY,MANHATTAN,987521.0,201066.0,40.718564066000056,-73.98820145399995,"(40.718564066000056, -73.98820145399996)",DELANCEY STREET
4932,3493125,556214581,12/30/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,982103.0,198029.0,40.71022856800005,-74.00774568899999,"(40.71022856800005, -74.00774568899999)",BROADWAY/NASSAU
4944,3493137,350411947,12/21/2019,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,979305.0,172965.0,40.64143240800007,-74.01781969799998,"(40.64143240800007, -74.01781969799998)",59 STREET
4947,3493140,607482093,12/22/2019,GRAND LARCENY,COMPLETED,FELONY,QUEENS,1031307.0,216054.0,40.759577798000066,-73.83014069999997,"(40.759577798000066, -73.83014069999997)",MAIN ST.-FLUSHING
4999,3493193,614202150,12/21/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,1007022.0,243322.0,40.834516921000045,-73.91770925599997,"(40.834516921000045, -73.91770925599997)",167 STREET
5011,3493205,489598920,12/14/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,MANHATTAN,987526.0,211899.0,40.74829799100007,-73.98817814399997,"(40.74829799100007, -73.98817814399997)",34 STREET
5054,3493248,237817489,12/31/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,986848.0,212883.0,40.75099904800004,-73.99062471199994,"(40.75099904800004, -73.99062471199994)",34 ST.-PENN STATION
5078,3493272,597613728,12/29/2019,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,988451.0,217993.0,40.765024079000064,-73.98483594999993,"(40.76502407900006, -73.98483594999993)",59 ST.-COLUMBUS CIRCLE
5145,3493339,633214600,12/04/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,MANHATTAN,987526.0,211899.0,40.74829799100007,-73.98817814399997,"(40.74829799100007, -73.98817814399997)",34 STREET
5146,3493340,448604995,12/23/2019,DANGEROUS WEAPONS,COMPLETED,MISDEMEANOR,QUEENS,1027498.0,202160.0,40.721461728000065,-73.84397926999998,"(40.721461728000065, -73.84397926999998)",71 AVE.-FOREST HILLS
5188,3493382,331233674,12/10/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,FELONY,MANHATTAN,998908.0,225000.0,40.78424530300003,-73.94707117799999,"(40.78424530300003, -73.94707117799999)",96TH STREET
5330,3493525,359803422,12/31/2019,ROBBERY,COMPLETED,FELONY,BROOKLYN,997935.0,182677.0,40.66808053600005,-73.95067075499998,"(40.66808053600005, -73.95067075499998)",PRESIDENT STREET
5368,3493563,427870627,12/25/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,984518.0,164775.0,40.61895395900007,-73.99903608499993,"(40.61895395900007, -73.99903608499993)",71 STREET
5420,3493617,337875585,12/25/2019,FORGERY,COMPLETED,FELONY,MANHATTAN,987078.0,215157.0,40.757240531000036,-73.98979363699993,"(40.757240531000036, -73.98979363699993)",42 ST.-PORT AUTHORITY BUS TERM
5446,3493643,115867216,12/22/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,994673.0,180873.0,40.66313339700002,-73.96243216099998,"(40.66313339700002, -73.96243216099998)",PROSPECT PARK
5522,3493722,349383826,12/28/2019,FELONY ASSAULT,COMPLETED,FELONY,QUEENS,1018154.0,207719.0,40.736760557000025,-73.87766077599997,"(40.736760557000025, -73.87766077599997)",GRAND AVE.-NEWTON
5554,3493754,426050479,12/28/2019,FELONY ASSAULT,COMPLETED,FELONY,QUEENS,1037559.0,194576.0,40.70059059000005,-73.80774319999993,"(40.70059059000005, -73.80774319999993)",SUTPHIN BLVD.-ARCHER AVE.
5632,3493833,912600213,12/28/2019,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,1037559.0,194576.0,40.70059059000005,-73.80774319999993,"(40.70059059000005, -73.80774319999993)",SUTPHIN BLVD.-ARCHER AVE.
5644,3493845,405444939,12/21/2019,OFFENSES INVOLVING FRAUD,COMPLETED,MISDEMEANOR,MANHATTAN,997374.0,234664.0,40.81077276700007,-73.95259158999993,"(40.81077276700007, -73.95259158999993)",125 STREET
5681,3493882,283903769,12/23/2019,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,998767.0,169858.0,40.632893841000055,-73.94769920999995,"(40.632893841000055, -73.94769920999995)",FLATBUSH AVE.-BROOKLYN COLLEGE
5686,3493887,107980740,12/21/2019,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,1003358.0,182945.0,40.66880609300007,-73.93112156699993,"(40.66880609300006, -73.93112156699993)",UTICA AVE.-CROWN HEIGHTS
5690,3493891,266015111,12/08/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,1020219.0,239110.0,40.82291230800007,-73.87004130399998,"(40.82291230800007, -73.87004130399998)",EAST 177 ST.-PARKCHESTER
5704,3493905,795153529,12/28/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,1009519.0,180676.0,40.66256275400008,-73.90892111899994,"(40.66256275400008, -73.90892111899994)",ROCKAWAY AVENUE
5784,3493986,532252247,12/30/2019,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,1009226.0,257932.0,40.87461104400006,-73.90969013799997,"(40.87461104400006, -73.90969013799997)",225 ST.-MARBLE HILL
5816,3494018,883277733,12/29/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,986061.0,213320.0,40.75219869800003,-73.99346504499994,"(40.75219869800003, -73.99346504499994)",34 ST.-PENN STATION
5828,3494030,120117117,12/23/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,1027498.0,202160.0,40.721461728000065,-73.84397926999998,"(40.721461728000065, -73.84397926999998)",71 AVE.-FOREST HILLS
5881,3494084,443949701,12/27/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,MANHATTAN,989294.0,215445.0,40.75803003100003,-73.98179465299995,"(40.75803003100003, -73.98179465299995)",47-50 STS./ROCKEFELLER CTR.
5898,3494101,765634015,12/23/2019,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,986354.0,205451.0,40.730600184000025,-73.99240998699997,"(40.730600184000025, -73.99240998699997)",8 ST.-NYU
5914,3494117,432733720,12/27/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,996551.0,223272.0,40.77950599700007,-73.95558550399994,"(40.77950599700006, -73.95558550399994)",86 STREET
6019,3494223,208418573,12/25/2019,GRAND LARCENY,COMPLETED,FELONY,QUEENS,1004921.0,216892.0,40.76197895200004,-73.92538308599995,"(40.76197895200004, -73.92538308599995)",BROADWAY
6073,3494278,916622331,12/13/2019,THEFT OF SERVICES,COMPLETED,MISDEMEANOR,MANHATTAN,987526.0,211899.0,40.74829799100007,-73.98817814399997,"(40.74829799100007, -73.98817814399997)",34 STREET
6089,3494294,681583787,12/31/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,1019444.0,245654.0,40.840876814000076,-73.87280713299998,"(40.840876814000076, -73.87280713299998)",EAST 180 STREET
6161,3494366,327201395,12/24/2019,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,998567.0,172445.0,40.63999493100005,-73.94841428699993,"(40.63999493100005, -73.94841428699993)",NEWKIRK AVENUE
6197,3494402,321460831,12/30/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,1020984.0,242288.0,40.83163185600006,-73.86725987499993,"(40.83163185600006, -73.86725987499993)",ST. LAWRENCE AVENUE
6225,3494435,751855031,12/23/2019,SEX CRIMES,COMPLETED,MISDEMEANOR,MANHATTAN,985679.0,213954.0,40.75393893800003,-73.99484365499995,"(40.75393893800003, -73.99484365499995)",34 ST.-HERALD SQ.
6290,3494501,486781502,12/27/2019,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,MANHATTAN,1001575.0,232339.0,40.804384046000045,-73.93742166899995,"(40.804384046000045, -73.93742166899995)",125 STREET
6305,3494516,203977482,12/21/2019,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,989780.0,218177.0,40.765528380000035,-73.98003814399993,"(40.765528380000035, -73.98003814399993)",57 STREET
6379,3494591,812290989,12/21/2019,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,975627.0,163689.0,40.61596892200004,-74.03106073499998,"(40.61596892200004, -74.03106073499998)",95 STREET-BAY RIDGE
6441,3494653,387176843,12/27/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,981148.0,196593.0,40.70628680300007,-74.01118971799998,"(40.70628680300007, -74.01118971799998)",BROAD STREET
6546,3494758,891535946,12/28/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,994029.0,227703.0,40.791671060000056,-73.96468538699997,"(40.791671060000056, -73.96468538699997)",96 STREET
6557,3494769,894407020,12/21/2019,GRAND LARCENY,COMPLETED,FELONY,BRONX,1010257.0,248767.0,40.84945291600008,-73.90599768399994,"(40.84945291600008, -73.90599768399994)",TREMONT AVENUE
6572,3494784,359816288,12/26/2019,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,987078.0,215157.0,40.757240531000036,-73.98979363699993,"(40.757240531000036, -73.98979363699993)",42 ST.-PORT AUTHORITY BUS TERM
